doctype;docentry;itype;TransNo;remarks;transdate;Collector
13;27999;Tukar Faktur;PY-IN-23002399;;2023-01-17;Bayu
13;28001;Tukar Faktur;PY-IN-23002399;;2023-01-17;Bayu
13;46796;Tukar Faktur;PY-IN-23002399;;2023-01-17;Bayu
13;10579;Tukar Faktur;PY-IN-23002406;;2023-01-17;Yanto
13;4071;Tukar Faktur;PY-IN-23002406;;2023-01-17;Yanto
13;4420;Tukar Faktur;PY-IN-23002406;;2023-01-17;Yanto
13;558;Tukar Faktur;PY-IN-23002406;;2023-01-17;Yanto
13;5980;Tukar Faktur;PY-IN-23002406;;2023-01-17;Yanto
13;8398;Tukar Faktur;PY-IN-23002406;;2023-01-17;Yanto
13;8794;Tukar Faktur;PY-IN-23002406;;2023-01-17;Yanto
13;923;Tukar Faktur;PY-IN-23002406;;2023-01-17;Yanto
13;9436;Tukar Faktur;PY-IN-23002406;;2023-01-17;Yanto
13;1919;Tukar Faktur;PY-IN-23002408;;2023-01-17;Irfan
13;22781;Tukar Faktur;PY-IN-23002408;;2023-01-17;Irfan
13;1048;Tukar Faktur;PY-IN-23002411;;2023-01-17;Tyo
13;1051;Tukar Faktur;PY-IN-23002411;;2023-01-17;Tyo
13;16549;Tukar Faktur;PY-IN-23002411;;2023-01-17;Tyo
13;16980;Tukar Faktur;PY-IN-23002411;;2023-01-17;Tyo
13;27992;Tukar Faktur;PY-IN-23002411;;2023-01-17;Tyo
13;29799;Tukar Faktur;PY-IN-23002411;;2023-01-17;Tyo
13;29800;Tukar Faktur;PY-IN-23002411;;2023-01-17;Tyo
13;482;Tukar Faktur;PY-IN-23002411;;2023-01-17;Tyo
13;10084;Tukar Faktur;PY-IN-23002414;;2023-01-17;Imam
13;22779;Tukar Faktur;PY-IN-23002415;;2023-01-17;Jhon
13;1761;Tukar Faktur;PY-IN-23002416;;2023-01-17;Fuad
13;22704;Tukar Faktur;PY-IN-23002417;;2023-01-17;Ilyas
13;20903;Tukar Faktur;PY-IN-23002418;;2023-01-17;Bayu
13;1892;Tukar Faktur;PY-IN-23002420;;2023-01-17;Imam
13;1893;Tukar Faktur;PY-IN-23002420;;2023-01-17;Imam
13;1894;Tukar Faktur;PY-IN-23002420;;2023-01-17;Imam
13;1895;Tukar Faktur;PY-IN-23002420;;2023-01-17;Imam
13;22200;Tukar Faktur;PY-IN-23002420;;2023-01-17;Imam
13;20822;Tukar Faktur;PY-IN-23002421;;2023-01-17;Jhon
13;21646;Tukar Faktur;PY-IN-23002421;;2023-01-17;Jhon
