sapBPCode;code;CardName;CardFName;Type;sales;creditlimit;locklimit(days);pymntgroup
RS0179;102.313;NAV KARAOKE SOLO 2 (PT. NAV JAYA MANDIRI);PT. NAV JAYA MANDIRI;Restaurant;78;300000;14;7
RS0210;102.189;PAR FOUR C.H. GRILL & BBQ;PAR FOUR C.H. GRILL & BBQ;Restaurant;78;300000;14;7
RS0255;102.051;SAE GROUP;SAE GROUP;Restaurant;78;5000000;14;7
RS0059;102.024;SOLARIA HARTONO MALL;SOLARIA HARTONO MALL;Restaurant;78;25000000;30;7
RS0035;102.298;XO SUKI & GRILL SOLO;XO SUKI & GRILL SOLO;Restaurant;78;50000000;14;7
PC0004;114.008;BABE'S COFFEE;BABE'S COFFEE;Coffee Shop;78;1000000;30;9
HT0007;101.013;BEST WESTERN SOLO BARU (PT. DELTA MERLIN DUNIA PROPERTI);PT. DELTA MERLIN DUNIA PROPERTI;Hotel;78;50000000;30;9
RS0033;102.049;BUBBLES RESTO;BUBBLES RESTO;Restaurant;78;0;30;9
RS0074;102.339;DIAMOND RESTO (CV. DIAMOND);CV. DIAMOND;Restaurant;78;10000000;30;9
HT0013;101.016;FAVE HOTEL ADISUTJIPTO (PT. DELTA MERLIN DUNIA PROPERTI);PT. DELTA MERLIN DUNIA PROPERTI;Hotel;78;50000000;30;9
HT0018;101.023;GRASS INN HOTEL SOLO;GRASS INN HOTEL SOLO;Hotel;78;5000000;30;9
HT0019;101.024;HARRIS HOTEL & CONVENTION SOLO (PT. CIPTA PROPERTI AGUNG);PT. CIPTA PROPERTI AGUNG;Hotel;78;70000000;30;9
RS0125;102.275;JAVA TERRACE KITCHEN & BAR (PT. CIPTA PROPERTI AGUNG);PT. CIPTA PROPERTI AGUNG;Restaurant;78;60000000;30;9
PC0060;114.042;KOPI KEPI / LA FOLLA;KOPI KEPI / LA FOLLA;Coffee Shop;78;1000000;28;9
RS0240;102.148;LAWEYAN BLUE MBAH BEI;LAWEYAN BLUE MBAH BEI;Restaurant;78;5000000;30;9
HT0027;101.03;NOVOTEL SOLO HOTEL (PT. SUNINDO INDAH HOTEL);PT. SUNINDO INDAH HOTEL;Hotel;78;50000000;30;9
RS0259;102.176;OBONK STEAK SOLO;OBONK STEAK SOLO;Restaurant;78;3000000;30;9
RS0236;106.026;PT. JITU BOGA PERSADA;PT. JITU BOGA PERSADA;Restaurant;78;10000000;30;9
RS0306;101.052;SOLIA HOTEL YOSODIPURO;SOLIA HOTEL YOSODIPURO;Restaurant;78;5000000;28;9
PC0066;114.079;STASIUN KOPI (PT. STASIUN KOPI SOLO);PT. STASIUN KOPI SOLO;Coffee Shop;78;5000000;28;9
HT0035;101.05;SYARIAH LOR IN HOTEL;SYARIAH LOR IN HOTEL;Hotel;78;1000000;30;9
HT0052;101.011;THE ROYAL SURAKARTA HERITAGE HOTEL (PT. SUNINDO INDAH HOTEL);PT. SUNINDO INDAH HOTEL;Hotel;78;50000000;30;9
HT0050;101.064;THE SUNAN HOTEL (PT. GRAHAMULYA WIRASTAMA);PT. GRAHAMULYA WIRASTAMA;Hotel;78;300000000;30;9
PC0001;114.093;ADLER KAFFEE;ADLER KAFFEE;Coffee Shop;79;50000000;0;4
DS0001;106.006;AZKAYRA FROZEN;AZKAYRA FROZEN;Distributor;79;3000000;0;4
UM0040;115.022;BAPAK ANGGA;BAPAK ANGGA;Umum;79;5000000;0;4
RS0024;102.007;BEE SQUARE;BEE SQUARE;Restaurant;79;5000000;30;4
RS0264;102.057;BIG BEEF;BIG BEEF;Restaurant;79;1000000;0;4
PC0010;114.096;BLACKBIRD PALUR;BLACKBIRD PALUR;Coffee Shop;79;1000000;0;4
RS0030;102.006;BROTHERHOOD;BROTHERHOOD;Restaurant;79;5000000;0;4
RS0037;102.303;BU INDRA ROTI BAKAR 543;BU INDRA ROTI BAKAR 543;Restaurant;79;5000000;7;4
PC0013;114.002;BUTLER COFFEE BOUTIQUE;BUTLER COFFEE BOUTIQUE;Coffee Shop;79;1000000;0;4
RS0039;102.064;CANDI RESTO;CANDI RESTO;Restaurant;79;15000000;14;4
PC0055;102.06;COCONUTS;COCONUTS;Coffee Shop;79;0;0;4
RS0046;102.068;CUMSUIS;CUMSUIS;Restaurant;79;1000000;0;4
RS0067;102.081;DALLAS RESTO (CV. METRO);CV. METRO;Restaurant;79;20000000;0;4
PC0025;114.018;D'COFFE CLUB SOLO;D'COFFE CLUB SOLO;Coffee Shop;79;5000000;0;4
RS0334;102.089;DEPOT BANDENG MURNI;DEPOT BANDENG MURNI;Restaurant;79;1000000;0;4
RS0078;102.084;DREAMT PHOTOGRAPHY;DREAMT PHOTOGRAPHY;Restaurant;79;1000000;30;4
RS0081;102.1;EATBOSS SOLO (CV. MAKMUR SENTOSO);CV. MAKMUR SENTOSO;Restaurant;79;7000000;0;4
RS0084;102.097;EL BURRITOS;EL BURRITOS;Restaurant;79;1000000;0;4
RS0089;102.095;EUPHORIA;EUPHORIA;Restaurant;79;5000000;14;4
RS0096;102.101;FOI GRILL & PASTA RESTAURANT;FOI GRILL & PASTA RESTAURANT;Restaurant;79;25000000;0;4
RS0105;102.111;HAILAI RESTAURANT;HAILAI RESTAURANT;Restaurant;79;300000;30;4
RS0112;102.112;HOME CAFE & RESTAURANT;HOME CAFE & RESTAURANT;Restaurant;79;8000000;7;4
HT0002;101.056;HOTEL KOTA (NANDA);HOTEL KOTA (NANDA);Hotel;79;1000000;14;4
UM0012;102.122;IBU AYU (CRAB AND FRIEND);IBU AYU (CRAB AND FRIEND);Umum;79;5000000;7;4
UM0009;115.029;IBU GUNAWAN;IBU GUNAWAN;Umum;79;5000000;3;4
