sapBPCode;Outlet;Outlet Address
RS0344;WAROENK GEAL GEOL;Jl. Kenanga No 45 Badran, Purwosari, Laweyan, Kota Surakarta
RS0339;WARUNG 310;"Jl Slamet Riyadi 310 SOLO"
RS0015;WARUNG DEPAN;Jl. Kebangkitan Nasional, Sriwedari, Laweyan, Kota Surakarta, Jawa Tengah 57141 (DEPAN RNB)
RS0036;WARUNG JAGO;Jl. Prof. DR. Supomo No.9, Sriwedari, Laweyan, Kota Surakarta, Jawa Tengah 57141
RS0346;WARUNG MAKAN BU DAR;Jl. Angling Darmo I, Penumping, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57141
RS0347;WARUNG ORANGE SOLO;"JLN. KAPTEN MULYADI NO 19 SOLO (depan RS Kustati, samping alfamart)"
RS0349;WARUNG STEAK SOLO;Jl. R.M. Said No.81 Solo
RS0350;WARUNG UP SIZE;"JL.KP KRATONAN NO 7 BELAKANG CAHAYA SAKTI MOTOR"
RS0348;WEST & EAST BISTRO DRINKERY;Hotel ALILA LT.3, JALAN SLAMET RIYADI NO.562 RT.01 RW.01 JAJAR LAWEYAN SURAKARTA JAWA TENGAH
RS0351;WHEELBUZ CAFE;JL.YOS SUDARSO NO 337 DANUKUSUMAN SERENGAN
RS0352;WHITE PAAL Restaurant;"HARMONI PONDOK PERMATA 2 NO D-1 SUMBERAN RT 09 RW 05 YOGYAKARTA"
RS0353;WIDORI KARTASURA;"Perum Griya Kencana I block B4 Karangasem, Gumpang, Kartasura (Belakang pabrik tyfountex, dekat Transmart Solo)"
RS0354;WISATA NIAGA HOTEL;JL. MERDEKA NO.5 PURWOKERTO
HT0001;WISMA BOGA REST;"Jl. Ir. Soekarno, Kwarasan Grogol Sukoharjo"
RS0355;Xin-Xin Restaurant;Jl. Abdul Muis no. 21 Setabelan Solo
RS0356;XO DIMSUM;The Park Mall Lt.GF No.32, Jl. Ir. Soekarno, Solo Baru, Dusun II, Madegondo, Sukoharjo, Kabupaten Sukoharjo, Jawa Tengah
RS0035;XO SUKI & GRILL SOLO;JLN. SLAMET RIYADI NO 299 SOLO(TIMUR SOLO GRAND MALL)
RS0357;YAKINIKU LIKE (PT. BOGA MAKMUR MANDIRI);WIJAYA GRAND CENTRE BLOK C NO. 33 PULO, KEBAYORAN BARU, JAKARTA SELATAN
RS0358;YANTI'S KITCHEN;YANTI'S KITCHENSUZUKI ADIPUTRAJL. RAYA SOLO BARU 12(DR PATUNG PANDAWA BELOK KIRI NANTI ADA TOWER SUZUKI)
RS0359;YELLOW TRUCK;JL. KEBANGKITAN NASIONAL NO. 35 BELAKANG STADION SRIWEDARI KEC. LAWEYAN, SURAKARTA
RS0241;YUKI;JL.SOLO-SRAGEN NO.16 NGRINGO,KEC.JATEN . KABUPATEN KARANGANYAR, JAWA TENGAH
DS0027;YUMMY BEEF;Jl. Rinjani Raya No. 11 B RT 005 RW 018 Mojosongo, Jebres, Surakarta
RS0360;YU REBI;DEPAN RNB
RS0361;ZAITUN CAFE;Jalan Duwet Raya No. 8 Karangasem, LaweyanDekat UMSSurakarta
RS0363;Zeppelin cafe & eatry;Jl. Imam Bonjol No.12, Kp. Baru, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57131
PC0069;ZEPPIN COFFEE;Jl. Ki Hajar Dewantara No.51, Jebres, Jawa Tengah
HT0051;ZEST HOTEL SOLO (PT. BUMI HARAPAN INDAH);Jl. Adi Sucipto No.28, Manahan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139
