ID;ADDRESS;ROOM;warehousename;NO PALLET;LOCATION;CODE;ITEM DESCRIPTION;BOOKING;BRAND;ME/EST;CATEGORI;ITEM CODE;CTN;PCS;KGS;PKD;EXP;OWNER;NO CONT;REMARKS
A04638;B3;G08;B3G08;B3G08-R01-11-D1;G8-1-11-D1;61;US FRZ BEEF CHUCK BACKSTRAP BLACK ANGUS;FREE;CREEKSTONE;EST 27;US 2ND;AUS2CRK011;25;;506.12;27/10/21;;SCA 22/01/22;TEMU 9324449 (40 FEET);
A04639;B3;G08;B3G08;B3G08-R01-11-D2;G8-1-11-D2;189;AUS FRZ LAMB LEG B/LESS IW/VAC NETTED;FREE;MULWARRA;EST 689;AUS LAMB;AAU2MUL062;30;;428.84;16/08/22;;IGU 17/11/22;CGMU 5236753(40 FEET);
A04640;B3;G08;B3G08;B3G08-R01-12-D1;G8-1-12-D1;77;AUS FRZ RIBEYE PR 3,1 KG UP;FREE;SWIFT;EST 688;AUS PR CUT;AAU2HRV073;25;;432.70;09/08/22;;IN 28/09/22;OOLU 3949683 (20 FEET);EX CHILLED
A04641;B3;G08;B3G08;B3G08-R01-12-D2;G8-1-12-D2;52;US 171C FRZ EYE ROUND CH OR HIGHER CAB;FREE;SWIFT;EST 969;US 2ND;AUS2SWF070;20;;628.77;22/07/22;;SCA 13/12/22;MSCU 7448781 (40 FEET);
A04642;B3;G08;B3G08;B3G08-R01-13-D1;G8-1-13-D1;77;AUS FRZ RIBEYE S GF ANGUS MB 2+;FREE;JACK'S CREEK;EST 1620;AUS PR CUT;AAUJCK026;25;;429.98;05/08/22;;IGU 05/11/22;BMOU 8715039 (40 FEET);
A04643;B3;G08;B3G08;B3G08-R01-13-D2;G8-1-13-D2;42;US 123D FRZ SHORT RIB B/LESS CAP;FREE;BLUE RIBBON;EST 628;US 2ND;AUS2SWF053;20;;473.14;09/08/22;;IGU 14/01/23;TTNU 8308256 (40 FEET);
A04644;B3;G08;B3G08;B3G08-R01-14-D1;G8-1-14-D1;44;US 130 CHUCK SHORT RIB B/IN SELECT CLASSIC HEREFORD;FREE;GOP;EST 960A;US 2ND;AUS2GOP065;16;;497.36;23/03/22;;CKI 09/07/22;TTNU 8120037 (40 FEET);KARTON MERAH
A04645;B3;G08;B3G08;B3G08-R01-14-D2;G8-1-14-D2;37;US 112A FRZ RIBEYE LIPON CH 2X2 UP;FREE;SWIFT;EST 969;US PR CUT;AUS2JBS015;16;;533.24;10/10/22;;IGU 13/01/23;OOLU 6272066 (40 FEET);
A04646;B3;G08;B3G08;B3G08-R01-15-D1;G8-1-15-D1;104;AUS FRZ BRISKET B/IN PLATE;FREE;HARVEY;EST 648;AUS 2ND;AAU2HRV053;30;;431.84;23/03/23;21/03/25;CKI 18/04/23;TLLU 1093998 (40 FEET);
A04648;B3;G08;B3G08;B3G08-R01-16-D1;G8-1-16-D1;120;AUS FRZ BEEF LIVER IW;FREE;HARVEY;EST 648;AUS 2ND;AAU2JBS022;30;;630.44;23/03/23;23/03/25;CKI 18/04/23;TLLU 1093998 (40 FEET);
A04652;B3;G08;B3G08;B3G08-R01-18-D1;G8-1-18-D1;63;AUS FRZ CHUCK SHORT RIBS B/IN;FREE;KILCOY;EST 640;AUS 2ND;AAU2HRV064;2;;46.78;28/11/18;;IN 03/04/23;RPTU 2201915 (20 FEET);EX MAKASAR 2
A04654;B3;G08;B3G08;B3G08-R01-18-D1;G8-1-18-D1;77;AUS FRZ RIBEYE A 3,1 KG UP;FREE;TEYS;EST 294;AUS PR CUT;AAU2HRV073;1;;17.38;;06/07/21;IN 03/04/23;RPTU 2201915 (20 FEET);EX MAKASAR 2
A04656;B3;G08;B3G08;B3G08-R01-19-D1;G8-1-19-D1;42;US 123D FRZ SHORT RIB B/LESS CAB PR;FREE;IBP;EST 245C;US 2ND;AUS2SWF043;14;;344.21;17/07/17;;IN 03/04/23;RPTU 2201915 (20 FEET);EX MAKASAR 2
A04666;B3;G08;B3G08;B3G08-R01-21-D2;G8-1-21-D2;61;US FRZ BEEF BACKSTRAP;FREE;IOWA;EST 8;US 2ND;AUS2IOW012;10;;269.24;-;-;IN 03/04/23;CXRU 2207841 (20 FEET);EX MAKASAR 1
A04667;B3;G08;B3G08;B3G08-R01-22-D1;G8-1-22-D1;42;US 123D FRZ SHORT RIB B/LESS NOROLL;FREE;SWIFT;EST 3D;US 2ND;AUS2SWF042;5;;85.84;-;-;IN 03/04/23;CXRU 2207841 (20 FEET);EX MAKASAR 1
A04668;B3;G08;B3G08;B3G08-R01-22-D1;G8-1-22-D1;102;US FRZ BEEF CHEEK MEAT;FREE;IBP;;US 2ND;AUS2JBS007;9;;244.89;22/10/16;;IN 03/04/23;CXRU 2207841 (20 FEET);EX MAKASAR 1
A04669;B3;G08;B3G08;B3G08-R01-22-D2;G8-1-22-D2;42;US 123D FRZ SHORT RIB B/LESS CAB PR;FREE;IBP;EST 245C;US 2ND;AUS2SWF043;9;;221.44;17/07/17;;IN 03/04/23;CXRU 2207841 (20 FEET);EX MAKASAR 1
A04670;B3;G08;B3G08;B3G08-R01-01-E1;G8-1-01-E1;125;AUS FRZ BEEF INSIDE S GF BLACK ANGUS MB 2+ ;FREE;KILCOY (EBONY);EST 640;AUS 2ND;AAU2KIL016;25;;477.22;06/03/23;05/03/25;SCA 15/04/23;SEGU 9449877 (40 FEET);
A04671;B3;G08;B3G08;B3G08-R01-01-E2;G8-1-01-E2;91;US FRZ BEEF HANGING TENDER (SPLIT);FREE;SWIFT;EST 969G;US 2ND;AUS2JBS019;25;;405.41;14/09/22;;IGU 27/12/22;SEKU 9006580 (40 FEET);2/BAG-8 BAGS-DT3 (39440)
A04672;B3;G08;B3G08;B3G08-R01-02-E1;G8-1-02-E1;52;US 171C FRZ EYE ROUND SELECT;FREE;SWIFT;EST 3D;US 2ND;AUS2SWF050;18;;645.37;03/05/22;;CKI 11/11/22;MEDU 9102670 (40 FEET);
A04673;B3;G08;B3G08;B3G08-R01-02-E2;G8-1-02-E2;52;US 171C FRZ EYE ROUND CH OR HIGHER;FREE;SWIFT;EST 969G;US 2ND;AUS2SWF070;20;;720.21;12/04/22;;IGU 29/08/22;BEAU 9704348 (40 FEET);
A04675;B3;G08;B3G08;B3G08-R01-03-E2;G8-1-03-E2;42;US 123A FRZ SHORT RIB B/IN CH CAB;FREE;SWIFT;EST 969;US 2ND;AUS2SWF055;20;;511.92;25/08/22;;IGU 14/01/23;TTNU 8308256 (40 FEET);
