bincode,AbsEntry
B1F07-R01-15-C2,809
B1F07-R01-15-D1,810
B1F07-R01-15-D2,811
B1F07-R01-15-E1,812
B1F07-R01-15-E2,813
B1F07-R01-15-F1,814
B1F07-R01-15-F2,815
B1F07-R01-15-G1,816
B1F07-R01-15-G2,817
B1F07-R01-16-00,818
B1F07-R01-16-A1,819
B1F07-R01-16-A2,820
B1F07-R01-16-B1,821
B1F07-R01-16-B2,822
B1F07-R01-16-C1,823
B1F07-R01-16-C2,824
B1F07-R01-16-D1,825
B1F07-R01-16-D2,826
B1F07-R01-16-E1,827
B1F07-R01-16-E2,828
B1F07-R01-16-F1,829
B1F07-R01-16-F2,830
B1F07-R01-16-G1,831
B1F07-R01-16-G2,832
B1F07-R01-17-00,833
B1F07-R01-17-A1,834
B1F07-R01-17-A2,835
B1F07-R01-17-B1,836
B1F07-R01-17-B2,837
B1F07-R01-17-C1,838
B1F07-R01-17-C2,839
B1F07-R01-17-D1,840
B1F07-R01-17-D2,841
B1F07-R01-17-E1,842
B1F07-R01-17-E2,843
B1F07-R01-17-F1,844
B1F07-R01-17-F2,845
B1F07-R01-17-G1,846
B1F07-R01-17-G2,847
B1F07-R01-18-00,848
B1F07-R01-18-A1,849
B1F07-R01-18-A2,850
B1F07-R01-18-B1,851
B1F07-R01-18-B2,852
B1F07-R01-18-C1,853
B1F07-R01-18-C2,854
B1F07-R01-18-D1,855
B1F07-R01-18-D2,856
B1F07-R01-18-E1,857
B1F07-R01-18-E2,858
B1F07-R01-18-F1,859
B1F07-R01-18-F2,860
B1F07-R01-18-G1,861
B1F07-R01-18-G2,862
B1F07-R01-19-00,863
B1F07-R01-19-A1,864
B1F07-R01-19-A2,865
B1F07-R01-19-B1,866
B1F07-R01-19-B2,867
B1F07-R01-19-C1,868
B1F07-R01-19-C2,869
B1F07-R01-19-D1,870
B1F07-R01-19-D2,871
B1F07-R01-19-E1,872
B1F07-R01-19-E2,873
B1F07-R01-19-F1,874
B1F07-R01-19-F2,875
B1F07-R01-19-G1,876
B1F07-R01-19-G2,877
B1F07-R01-20-00,878
B1F07-R01-20-A1,879
B1F07-R01-20-A2,880
B1F07-R01-20-B1,881
B1F07-R01-20-B2,882
B1F07-R01-20-C1,883
B1F07-R01-20-C2,884
B1F07-R01-20-D1,885
B1F07-R01-20-D2,886
B1F07-R01-20-E1,887
B1F07-R01-20-E2,888
B1F07-R01-20-F1,889
B1F07-R01-20-F2,890
B1F07-R01-20-G1,891
B1F07-R01-20-G2,892
B1F07-R01-21-00,893
B1F07-R01-21-A1,894
B1F07-R01-21-A2,895
B1F07-R01-21-B1,896
B1F07-R01-21-B2,897
B1F07-R01-21-C1,898
B1F07-R01-21-C2,899
B1F07-R01-21-D1,900
B1F07-R01-21-D2,901
B1F07-R01-21-E1,902
B1F07-R01-21-E2,903
B1F07-R01-21-F1,904
B1F07-R01-21-F2,905
B1F07-R01-21-G1,906
B1F07-R01-21-G2,907
B1F07-R01-22-00,908
B1F07-R01-22-A1,909
B1F07-R01-22-A2,910
B1F07-R01-22-B1,911
B1F07-R01-22-B2,912
B1F07-R01-22-C1,913
B1F07-R01-22-C2,914
B1F07-R01-22-D1,915
B1F07-R01-22-D2,916
B1F07-R01-22-E1,917
B1F07-R01-22-E2,918
B1F07-R01-22-F1,919
B1F07-R01-22-F2,920
B1F07-R01-22-G1,921
B1F07-R01-22-G2,922
B1F07-R01-23-00,923
B1F07-R01-23-A1,924
B1F07-R01-23-A2,925
B1F07-R01-23-B1,926
B1F07-R01-23-B2,927
B1F07-R01-23-C1,928
B1F07-R01-23-C2,929
B1F07-R01-23-D1,930
B1F07-R01-23-D2,931
B1F07-R01-23-E1,932
B1F07-R01-23-E2,933
B1F07-R01-23-F1,934
B1F07-R01-23-F2,935
B1F07-R01-23-G1,936
B1F07-R01-23-G2,937
B1F07-R01-24-00,938
B1F07-R01-24-A1,939
B1F07-R01-24-A2,940
B1F07-R01-24-B1,941
B1F07-R01-24-B2,942
B1F07-R01-24-C1,943
B1F07-R01-24-C2,944
B1F07-R01-24-D1,945
B1F07-R01-24-D2,946
B1F07-R01-24-E1,947
B1F07-R01-24-E2,948
B1F07-R01-24-F1,949
B1F07-R01-24-F2,950
B1F07-R01-24-G1,951
B1F07-R01-24-G2,952
B1F07-R01-25-00,953
B1F07-R01-25-A1,954
B1F07-R01-25-A2,955
B1F07-R01-25-B1,956
B1F07-R01-25-B2,957
B1F07-R01-25-C1,958
B1F07-R01-25-C2,959
B1F07-R01-25-D1,960
B1F07-R01-25-D2,961
B1F07-R01-25-E1,962
B1F07-R01-25-E2,963
B1F07-R01-25-F1,964
B1F07-R01-25-F2,965
B1F07-R01-25-G1,966
B1F07-R01-25-G2,967
B1F07-R01-26-00,968
B1F07-R01-26-A1,969
B1F07-R01-26-A2,970
B1F07-R01-26-B1,971
B1F07-R01-26-B2,972
B1F07-R01-26-C1,973
B1F07-R01-26-C2,974
B1F07-R01-26-D1,975
B1F07-R01-26-D2,976
B1F07-R01-26-E1,977
B1F07-R01-26-E2,978
B1F07-R01-26-F1,979
B1F07-R01-26-F2,980
B1F07-R01-26-G1,981
B1F07-R01-26-G2,982
B1F07-R01-27-00,983
B1F07-R01-27-A1,984
B1F07-R01-27-A2,985
B1F07-R01-27-B1,986
B1F07-R01-27-B2,987
B1F07-R01-27-C1,988
B1F07-R01-27-C2,989
B1F07-R01-27-D1,990
B1F07-R01-27-D2,991
B1F07-R01-27-E1,992
B1F07-R01-27-E2,993
B1F07-R01-27-F1,994
